v,chi_ni
0.010000000000000002,0.9215162021830329
0.01373823795883263,0.936708896377598
0.018873918221350976,0.9499895757888034
0.02592943797404667,0.9609910406312123
0.035622478902624426,0.9699738441163055
0.04893900918477494,0.9664796940747181
0.06723357536499339,0.9825592843731759
0.09236708571873861,0.9876547245022195
0.12689610031679222,0.9908790812952886
0.17433288221999882,0.9933407597316255
0.23950266199874853,0.9945725790698574
0.3290344562312668,0.9959306691838563
0.4520353656360243,0.996501705510626
0.6210169418915615,0.9969538275325588
0.8531678524172809,0.9972119737306067
1.1721022975334803,0.9973615625574624
1.6102620275609394,0.9974435921073165
2.2122162910704493,0.9974893413587648
3.0391953823131974,0.9975143271494892
4.1753189365604015,0.9975275372231484
5.736152510448679,0.9975359315626903
7.880462815669913,0.9975395123848199
10.826367338740546,0.997542026662457
14.87352107293511,0.9975415329836245
20.433597178569418,0.997543520694969
28.072162039411772,0.9975435586275739
38.56620421163472,0.9975422252191952
52.98316906283707,0.9975444412493492
72.7895384398315,0.9975445019362201
100.0,0.9975457416321508
